num_procs,n,theta,elapsed_avg,treebuild_work_avg,treebuild_oh_avg,treebuild_oh_pct_avg,treebuild_avg_imbal_avg,treebuild_max_imbal_avg,forces_work_avg,forces_oh_avg,forces_oh_pct_avg,forces_avg_imbal_avg,forces_max_imbal_avg,datasort_work_avg,datasort_oh_avg,datasort_oh_pct_avg,kick_work_avg,kick_oh_avg,kick_oh_pct_avg,grand_work_avg,grand_oh_avg,grand_oh_pct_avg
1,5000,0.5,1.04514,0.02868,0.00696,19.552,0,0,0.94466,0.0002,0.02,0,0,nan,nan,nan,0.00058,0.0004,40.8889,0.97386,0.00762,0.774
2,5000,0.5,0.565729,0.0518,0.0277,34.852,0.0010618,0.001292,0.91614,0.00832,0.896,0.000725,0.0014964,nan,nan,nan,0.00062,0.00074,54.403,0.96856,0.03682,3.66
4,5000,0.5,0.354882,0.05072,0.07772,60.506,0.0016042,0.001899,0.96578,0.06744,5.252,0.0029498,0.0032638,0.0019,0.00294,60.786,0.0009,0.0025,73.5021,1.0193,0.15058,12.036
8,5000,0.5,0.27424,0.04944,0.15246,75.514,0.0012694,0.0015348,1.19578,0.27342,18.626,0.0067376,0.0095184,0.00192,0.00752,79.612,0.00108,0.00808,88.1452,1.24826,0.44144,26.138
16,5000,0.5,0.214517,0.05594,0.36178,86.564,0.0014674,0.0018338,1.37196,0.56952,28.848,0.0035994,0.0065758,0.00208,0.01724,89.236,0.00124,0.03404,96.4383,1.43126,0.98258,40.502
1,10000,0.5,2.84283,0.05664,0.01428,20.076,0,0,2.52704,0.0002,0.01,0,0,nan,nan,nan,0.00156,0.0004,20.4645,2.58522,0.01492,0.576
2,10000,0.5,1.59465,0.11208,0.05406,32.568,0.0020686,0.0025436,2.48688,0.04948,1.946,0.0044602,0.0064304,nan,nan,nan,0.00178,0.00094,34.5128,2.60072,0.10448,3.858
4,10000,0.5,1.10763,0.09896,0.14884,60.06,0.0029326,0.0034102,2.81194,0.3954,10.012,0.0185412,0.0205908,0.00374,0.00526,58.45,0.00214,0.00342,61.7006,2.9168,0.55294,14.17
8,10000,0.5,0.811094,0.10734,0.29034,72.966,0.0025384,0.0028756,3.1755,0.95384,23.078,0.0211016,0.0233932,0.00376,0.0128,77.148,0.00248,0.00874,77.8695,3.2891,1.26568,27.764
16,10000,0.5,0.570123,0.14424,0.71218,83.142,0.0030066,0.0042714,3.75476,0.56196,12.738,0.0105172,0.0168832,0.0035,0.02798,88.494,0.00306,0.03226,91.3734,3.90558,1.33436,25.324
1,20000,0.5,7.73586,0.11882,0.0308,20.588,0,0,6.64606,0.00022,0,0,0,nan,nan,nan,0.00368,0.0004,9.80488,6.76862,0.0315,0.464
2,20000,0.5,4.44086,0.23732,0.1171,33.05,0.004576,0.0059124,6.56822,0.08248,1.238,0.0074578,0.014886,nan,nan,nan,0.0043,0.00128,22.2086,6.80988,0.20088,2.858
4,20000,0.5,2.7321,0.21146,0.31722,60.002,0.0066246,0.0089132,6.37726,0.25624,3.85,0.0110974,0.017937,0.0089,0.00952,51.64,0.0042,0.00374,47.0875,6.60186,0.5868,8.152
8,20000,0.5,2.40796,0.22504,0.58724,72.274,0.0050916,0.0064338,8.40206,2.4693,22.702,0.0553808,0.0640796,0.00876,0.02654,75.2,0.00634,0.01114,63.7332,8.64222,3.09422,26.354
16,20000,0.5,1.77539,0.33592,1.52196,81.898,0.006511,0.007886,9.78274,1.52088,13.414,0.0287054,0.041397,0.00944,0.06342,86.776,0.0071,0.03452,82.923,10.1352,3.14078,23.606
1,40000,0.5,19.9036,0.22354,0.06394,22.242,0,0,15.8848,0.0003,0,0,0,nan,nan,nan,0.00846,0.0005,5.5722,16.1168,0.06476,0.398
2,40000,0.5,11.8015,0.47318,0.23816,33.442,0.0094354,0.014366,15.2373,0.19614,1.268,0.0177862,0.0442348,nan,nan,nan,0.00968,0.0018,15.543,15.7201,0.43606,2.698
4,40000,0.5,7.77688,0.41362,0.63018,60.372,0.0131168,0.0156106,14.9538,0.25646,1.684,0.0104626,0.0265352,0.02322,0.01896,44.952,0.00962,0.00428,30.7691,15.4003,0.90986,5.578
8,40000,0.5,7.27889,0.47282,1.3117,73.484,0.0110226,0.0131318,21.0705,5.40396,20.402,0.132229,0.144444,0.02368,0.06332,72.814,0.01452,0.01422,49.9697,21.5815,6.79322,23.948
16,40000,0.5,5.76552,0.73626,3.20008,81.29,0.013892,0.016263,23.7071,4.36574,15.534,0.0740206,0.104816,0.02386,0.15312,86.518,0.01638,0.04562,73.5193,24.4837,7.76456,24.068
1,80000,0.5,54.522,0.48232,0.14166,22.712,0,0,39.0629,0.00046,0,0,0,nan,nan,nan,0.01358,0.0006,4.36165,39.5588,0.1427,0.358
2,80000,0.5,34.8061,0.91882,0.44504,32.682,0.0162274,0.021043,38.1443,0.34446,0.898,0.0312558,0.0688618,nan,nan,nan,0.01546,0.00244,13.7455,39.0785,0.79194,1.988
4,80000,0.5,24.5472,0.86954,1.33228,60.526,0.0283476,0.0363812,35.9091,0.58534,1.598,0.0253932,0.0419448,0.0492,0.04086,45.224,0.01798,0.0079,30.5362,36.8459,1.96634,5.064
8,80000,0.5,23.5726,0.90616,2.59156,74.092,0.0218888,0.0276876,48.2478,18.0863,27.25,0.353152,0.378495,0.04898,0.12766,72.248,0.02262,0.01846,45.2264,49.2256,20.824,29.716
16,80000,0.5,19.7181,1.4791,6.75242,82.03,0.0296328,0.0368886,57.1989,11.1066,16.296,0.18555,0.235259,0.05794,0.36978,86.444,0.04254,0.06812,61.5246,58.7785,18.2969,23.766
