num_procs,n,theta,elapsed_avg,ekin_avg,epot_avg,energy_avg
1,100,0.5,0.00348567,0.249415,-0.49964,-0.250226
2,100,0.5,0.003313,0.249415,-0.49964,-0.250226
4,100,0.5,0.00317167,0.249415,-0.49964,-0.250226
8,100,0.5,0.00360767,0.249415,-0.49964,-0.250226
16,100,0.5,0.00719467,0.250779,-0.500737,-0.249958
32$,100,0.5,nan,nan,nan,nan
1,200,0.5,0.008157,0.248866,-0.497561,-0.248695
2,200,0.5,0.005831,0.248866,-0.497561,-0.248695
4,200,0.5,0.004925,0.248866,-0.497561,-0.248695
8,200,0.5,0.004904,0.248866,-0.497561,-0.248695
16,200,0.5,0.006684,0.248866,-0.497561,-0.248695
32$,200,0.5,nan,nan,nan,nan
1,500,0.5,0.0323433,0.247419,-0.497105,-0.249686
2,500,0.5,0.0194793,0.247419,-0.497105,-0.249686
4,500,0.5,0.012697,0.247419,-0.497105,-0.249686
8,500,0.5,0.011366,0.247419,-0.497105,-0.249686
16,500,0.5,0.012262,0.247419,-0.497105,-0.249686
32$,500,0.5,nan,nan,nan,nan
