n,theta,elapsed_avg,ekin_avg,epot_avg,energy_avg
1000,0.1,0.051778,0.25,-0.499814,-0.250253
1000,0.3,0.0389047,0.25,-0.499814,-0.250253
1000,0.5,0.027259,0.25,-0.499815,-0.250253
1000,0.7,0.0234143,0.25,-0.499817,-0.250253
1000,1.0,0.019683,0.25,-0.499816,-0.250241
5000,0.1,0.773092,0.25,-0.498214,-0.249991
5000,0.3,0.348213,0.25,-0.498214,-0.249991
5000,0.5,0.23194,0.25,-0.498215,-0.249992
5000,0.7,0.176746,0.25,-0.498217,-0.249994
5000,1.0,0.140885,0.25,-0.498226,-0.249994
10000,0.1,2.59589,0.25,-0.498561,-0.249977
10000,0.3,0.993286,0.25,-0.498562,-0.249977
