num_procs,n,theta,elapsed_avg,energy_avg,work_pct_avg,overhead_pct_avg,forces_work_pct,forces_avg_imbal_avg,forces_max_imbal_avg,forces_oh_pct_avg,treebuild_total_pct,treebuild_oh_pct_avg,datasort_total_pct,datasort_oh_pct_avg
1,10000,0.5,2.54958,-0.249978,99.39,0.61,97.6592,0,0,0.01,2.84899,20.572,0,0
2,10000,0.5,1.30517,-0.249978,96.966,3.034,95.2696,0.0019869,0.0049874,0.916,6.63485,32.15,0,0
4,10000,0.5,0.795303,-0.249978,88.562,11.438,96.1055,0.0111254,0.0120954,6.529,8.00641,60.29,0,0
8,10000,0.5,0.563712,-0.249978,74.457,25.543,96.5544,0.0189336,0.0229695,20.142,9.29686,74.077,0,0
16,10000,0.5,0.33746,-0.249978,74.058,25.942,96.0586,0.0099933,0.0163986,13.4,16.5071,83.154,0,0
1,20000,0.5,6.61287,-0.249936,99.492,0.508,98.0698,0,0,0.001,2.35458,20.93,0,0
2,20000,0.5,3.40522,-0.249936,96.261,3.739,96.0348,0.0112211,0.0260292,1.956,5.63281,33.183,0,0
4,20000,0.5,1.9128,-0.249936,90.615,9.385,96.5763,0.0198432,0.0333457,5.222,7.1887,59.78,0,0
8,20000,0.5,1.49423,-0.249936,71.557,28.443,97.1109,0.0537223,0.0626528,24.724,7.2365,73.223,0,0
16,20000,0.5,0.872857,-0.249936,76.744,23.256,96.5678,0.026615,0.0428323,13.009,13.9235,81.934,0,0
1,40000,0.5,15.955,-0.24995,99.555,0.445,98.4716,0,0,0,1.89997,22.822,0,0
2,40000,0.5,8.04457,-0.24995,97.06,2.94,96.6054,0.0198325,0.0590172,1.462,4.76663,32.16,0,0
4,40000,0.5,4.63353,-0.24995,90.987,9.013,96.953,0.0467227,0.0833357,5.289,6.4009,60.114,0,0
8,40000,0.5,3.61567,-0.24995,72.261,27.739,97.4452,0.12484,0.155201,24.335,6.4901,73.488,0,0
16,40000,0.5,2.21396,-0.24995,77.888,22.112,96.9228,0.0677296,0.0982361,13.227,12.232,81.475,0,0
1,80000,0.5,39.9418,-0.249959,99.647,0.353,98.7543,0,0,0,1.56387,22.244,0,0
2,80000,0.5,20.3017,-0.249959,98.073,1.927,97.5222,0.0269262,0.0741828,0.789,3.55286,32.703,0,0
4,80000,0.5,10.381,-0.249959,95.096,4.904,97.4864,0.0236727,0.0391644,1.506,5.60469,60.144,0,0
8,80000,0.5,8.95014,-0.249959,70.03,29.97,97.8719,0.306111,0.355462,27.342,5.31267,73.9,0,0
16,80000,0.5,5.57948,-0.249959,77.285,22.715,97.2429,0.176523,0.228442,14.915,10.9284,81.695,0,0
1,160000,0.5,90.5203,-0.249936,99.656,0.344,98.7904,0,0,0,1.53623,22.283,0,0
2,160000,0.5,47.9299,-0.249936,97.852,2.148,97.5829,0.0894232,0.184895,1.139,3.39614,30.795,0,0
4,160000,0.5,26.052,-0.249936,95.795,4.205,98.0407,0.0597778,0.218195,1.512,4.42502,60.545,0,0
8,160000,0.5,22.9491,-0.249936,70.597,29.403,98.2737,0.807235,0.955744,27.228,4.15943,72.917,0,0
16,160000,0.5,14.3461,-0.249936,78.528,21.472,97.8031,0.444779,0.520307,15.619,8.44767,80.653,0,0
